airline_sentiment,text
negative,maintenance issue undetermined amount time mechanic even arrive
neutral,sent email describing experience looking forward follow hopefully make right
positive,chicago hometown airline care neighbor savethediagonals flyquiet ordnoise
negative,cost one round trip ticket
positive,give cyndi amp troy gold star
positive,flight attendant super helpful finding bag left flight today excellent customer service name fit
neutral,changing rno den nonstop may late flight morning early afternoon
neutral,unitedairlines wont wait min fam w yr old connecting flight leaf early instead airport plane last stop today
negative,cant go back airport im working wont time telling seriously way
neutral,instead bourbon street quiet plane savethediagonals
negative,denver supposed boarding right yet land
negative,ive year ive never many issue airline
negative,haha thats fine still wont fly ever seems like guy problem anyone else
negative,note traveling w yr old unreal
negative,plane staying overnight next airport roc u make min air instead waiting u leave early
positive,traveling guest mileage plus member using member mile great customer service
negative,mechanical issue cause delay connecting plane ord needed wait min refused left early instead wtf
neutral,captain apologize delay company looking open gate glance starboard side see open gate
neutral,reinstating kosher meal dropped shortly merger
negative,im one jfk laxwhen r u upgrading planesplane screenslousy seat thats unitedfirst
neutral,possible upfare p segment gpu waitlisted
positive,bringing game premium cabin dining nice httpstcozgoqoxjbqy
negative,already vomit halfway
negative,amazing hard talk customer service
negative,fair enough stink passenger plane leaf gate sits tarmac hour takeoff
negative,held flight group nearly people
negative,guy suck delay flight cant hold connector minute worstairlineever
neutral,want plane dad
negative,time rantyou delayed flight still forgot luggagethen delayed tarmac moment love united
negative,international flight didnt get new eta air
positive,think rough moment w bad passenger earlier flight thing got considerably better thanks
negative,thanks rude customer service hour delay really helped timing wise afternoon meeting hello
negative,useless response need functioning wheelchair customer care form fill
positive,awesome thx thx replying damn fast sure hell beat cheeze hold music
neutral,cabin functionality mean im taking customer satisfaction survey
negative,cab ride dfw love got bag reimburse
negative,unbelievable hypocrisy
positive,thanks getting businessfirst priority tagged bag onto connecting flight ewr despite hour layover nice job
positive,amazing flying mile unitedairlines amp alliance last year still got jilted status moneyelsewhere
negative,top csr went ahead hung called united discus
negative,finally memphis landed minute ago still bag paying service get worse
negative,thanks terrible experience ewr customer treated priority inconvenience tryagain
neutral,rd party service known ezee flight man confirmed born india told name steve wilson
negative,third wheelchair broken httptcotvkpyxqv
positive,met customer service arrival flight ua pvdiad thanks guy really handled storm
positive,ooh thanks
negative,flight pm still airport gee service care nope delayed
negative,disappointed cc purchased ticket online w voucher charge full amnt would hold price refund unacceptable
negative,exactly state secure document nexus card state passport must always also presented read
neutral,told united carry overcarry back refund
neutral,leave work would possible would love replaced
negative,feel completely cheated read commitment customer service via website def get service suggested
negative,agent said would refunded agent said united never sold u ticket
